State,Total CWS,Total Population,Total Missed Milestones
LA,2110,5763460,7241
TX,7794,33581115,5419
NM,979,2093751,4755
MO,2349,6141057,4484
ID,1250,1650825,4387
NE,813,1814868,4289
IL,2930,12558677,4215
UT,699,3753053,2978
GA,2724,11086611,2550
KS,1146,2933394,2252
WI,1751,4396912,2250
NC,6182,11885694,1859
AZ,1968,7807918,1851
VA,2754,8899835,1800
CT,1018,2976737,1503
MT,1278,961342,1357
AK,821,814323,1194
WV,1173,1972187,1171
IN,1176,5525529,999
NJ,961,9646007,998
CO,1722,7696102,994
OR,1474,3986778,988
MS,1863,3630127,987
MI,2242,7968152,962
OH,2297,15612372,905
VT,601,507931,710
CA,6246,46294769,657
ND,532,808410,656
MA,826,10320770,628
AL,983,6597410,604
NV,486,3185764,556
OK,1794,4806504,553
TN,1210,8476202,534
ME,612,736907,534
PA,4210,19576525,482
SD,835,1002800,450
WA,4054,9803126,437
WY,619,583112,386
MD,1555,14869844,278
RI,172,1081722,274
SC,1548,4905260,257
MP,122,115333,206
MN,1300,4787807,201
FL,4553,29632303,108
NY,4980,21999069,83
AS,108,107174,33
IA,1735,3202875,29
NH,960,925218,26
AR,921,3286339,19
KY,861,5955890,10
DC,13,682491,9
DE,435,1166331,8
QC,1,897,2
ON,3,245,1
GU,11,186652,0
AP,1,12780,0
BC,1,75,0
HI,128,1539191,0
PQ,1,142,0
PR,814,4253169,0
VI,228,103450,0
